Fecha, ID, Tipo cambio, Campo, Valor anterior, Valor actual, Usuario
2022-05-10,10079PECES,Registro editado,subcategoria_agrobiodiversidad,,Nueva subcat,admin@zen.dro
2022-05-10,1005ECHIN,Registro editado,categoria_agrobiodiversidad,,Nueva categoria,admin@zen.dro
2022-05-10,13131ANGIO,Registro borrado,,,,
2022-05-10,55856ANGIO,Registro borrado,,,,
2022-05-10,13141ANGIO,Registro borrado,,,,
2022-05-10,54836ANGIO,Registro borrado,,,,
2022-05-10,13933ANGIO,Registro borrado,,,,
2022-05-10,27887ANGIO,Registro borrado,,,,
2022-05-10,47941ANGIO,Registro borrado,,,,
2022-05-10,19329GIMNO,Registro borrado,,,,
2022-05-10,55846ANGIO,Registro borrado,,,,
2022-05-10,35906ANGIO,Registro borrado,,,,
2022-05-10,13827ANGIO,Registro borrado,,,,
2022-05-10,12745ANGIO,Registro borrado,,,,
2022-05-10,34617ANGIO,Registro borrado,,,,
2022-05-10,44929ANGIO,Registro borrado,,,,
2022-05-10,30479ANGIO,Registro borrado,,,,
2022-05-10,26863ANGIO,Registro borrado,,,,
2022-05-10,55777ANGIO,Registro borrado,,,,
2022-05-10,46831ANGIO,Registro borrado,,,,
2022-05-10,55490ANGIO,Registro borrado,,,,
2022-05-10,19333GIMNO,Registro borrado,,,,
2022-05-10,30375ANGIO,Registro borrado,,,,
2022-05-10,14160ANGIO,Registro borrado,,,,
2022-05-10,14193ANGIO,Registro borrado,,,,
2022-05-10,74478ANGIO,Registro borrado,,,,
2022-05-10,54890ANGIO,Registro borrado,,,,
2022-05-10,13124ANGIO,Registro borrado,,,,
2022-05-10,20724ANGIO,Registro borrado,,,,
2022-05-10,56439ANGIO,Registro borrado,,,,
2022-05-10,27824ANGIO,Registro borrado,,,,
2022-05-10,54923ANGIO,Registro borrado,,,,
2022-05-10,9153ANGIO,Registro borrado,,,,
2022-05-10,14038ANGIO,Registro borrado,,,,
2022-05-10,29275ANGIO,Registro borrado,,,,
2022-05-10,18435ANGIO,Registro borrado,,,,
2022-05-10,9315ANGIO,Registro borrado,,,,
2022-05-10,55004ANGIO,Registro borrado,,,,
2022-05-10,13834ANGIO,Registro borrado,,,,
2022-05-10,55279ANGIO,Registro borrado,,,,
