id,createdAt,updatedAt,taxon,estatus,id_valido,taxon_valido,referencia,categoria_agrobiodiversidad,es_parientesilvestre,es_domesticado,es_quelite,comentarios_revision,usuario
1005ECHIN,2023-02-20 04:59:38.378+00,2023-02-20 04:59:38.378+00,Ophioderma longicaudum,Aceptado/Válido,1005ECHIN,Ophioderma longicaudum,El taxón pertenece a la categoría de Consumo humano en el Catálogo de acuerdo a consulta en Enciclovida.,Agrobiodiversidad,f,,,,listado-admin
10073MOLUS,2023-02-20 04:59:38.464+00,2023-02-20 04:59:38.464+00,Crepidula excavata,Aceptado/Válido,10073MOLUS,Crepidula excavata,El taxón pertenece a la categoría de Consumo humano en el Catálogo de acuerdo a consulta en Enciclovida.,Agrobiodiversidad,f,,,,listado-admin
10079PECES,2023-02-20 04:59:38.552+00,2023-02-20 04:59:38.552+00,Carangoides otrynter,Aceptado/Válido,10079PECES,Carangoides otrynter,El taxón pertenece a la categoría de Consumo humano en el Catálogo de acuerdo a consulta en Enciclovida.,Agrobiodiversidad,f,,,,listado-admin
1007ECHIN,2023-02-20 04:59:38.643+00,2023-02-20 04:59:38.643+00,Ophioderma squamosissimum,Aceptado/Válido,1007ECHIN,Ophioderma squamosissimum,El taxón pertenece a la categoría de Consumo humano en el Catálogo de acuerdo a consulta en Enciclovida.,Agrobiodiversidad,f,,,,listado-admin
10085PECES,2023-02-20 04:59:38.721+00,2023-02-20 04:59:38.721+00,Carangoides vinctus,Aceptado/Válido,10085PECES,Carangoides vinctus,El taxón pertenece a la categoría de Consumo humano en el Catálogo de acuerdo a consulta en Enciclovida.,Agrobiodiversidad,f,,,,listado-admin
100_pendiente,2023-02-20 04:59:38.802+00,2023-02-20 04:59:38.802+00,Psidium hasslerianum,,,,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
10107MOLUS,2023-02-20 04:59:38.882+00,2023-02-20 04:59:38.882+00,Strombus gracilior,Aceptado/Válido,10107MOLUS,Strombus gracilior,El taxón pertenece a la categoría de Consumo humano en el Catálogo de acuerdo a consulta en Enciclovida.,Agrobiodiversidad,f,,,,listado-admin
10128MOLUS,2023-02-20 04:59:38.961+00,2023-02-20 04:59:38.961+00,Strombina (Recurvina) fusinoidea,Aceptado/Válido,10128MOLUS,Strombina (Recurvina) fusinoidea,El taxón pertenece a la categoría de Consumo humano en el Catálogo de acuerdo a consulta en Enciclovida.,Agrobiodiversidad,f,,,,listado-admin
10134MOLUS,2023-02-20 04:59:39.04+00,2023-02-20 04:59:39.04+00,Fasciolaria tulipa,Aceptado/Válido,10134MOLUS,Fasciolaria tulipa,El taxón pertenece a la categoría de Consumo humano en el Catálogo de acuerdo a consulta en Enciclovida.,Agrobiodiversidad,f,,,,listado-admin
1016ECHIN,2023-02-20 04:59:39.118+00,2023-02-20 04:59:39.118+00,Deimatidae,Aceptado/Válido,1016ECHIN,Deimatidae,El taxón pertenece a la categoría de Consumo humano en el Catálogo de acuerdo a consulta en Enciclovida.,Agrobiodiversidad,f,,,,listado-admin
